Period;AT;BE;BG;CH;CY;CZ;DE;DK;EE;EL;ES;FI;FR;HR;HU;IE;IT;LT;LU;LV;ME;MK;MT;NL;NO;PL;PT;RO;RS;SE;SI;SK;TR;UK
01/01/95;45209.6 ;54344.8 ;3175.2 ;65580.5 ;1881.8 ;11017.9 ;485389.6 ;34527.0 ;686.4 ;25698.5 ;112945.8 ;24504.2 ;301292.7 ;4235.8 ;9129.2 ;12893.1 ;221717.0 ;1175.0 ;3743.6 ;1016.4 ; ; ; ;85125.5 ;28687.7 ;26368.1 ;22358.1 ;7213.6 ;6986.5 ;49708.1 ;3949.3 ;3592.0 ; ;258920.0 
01/04/95;46270.8 ;55318.0 ;3162.5 ;67574.8 ;1896.9 ;11300.9 ;498563.1 ;35418.8 ;730.2 ;25955.2 ;116318.1 ;25787.7 ;304852.3 ;4410.6 ;8659.5 ;13091.6 ;213721.2 ;1207.0 ;4019.5 ;1033.2 ; ; ; ;85843.8 ;28797.3 ;26905.3 ;22655.9 ;7109.3 ;7548.9 ;48886.5 ;4106.9 ;4061.4 ; ;252793.8 
01/07/95;46215.0 ;55275.7 ;3797.6 ;67830.6 ;1916.0 ;11687.0 ;496335.7 ;35448.9 ;756.4 ;26415.9 ;119379.7 ;26107.7 ;308802.7 ;4386.1 ;8754.4 ;13375.1 ;229044.3 ;1333.3 ;3986.6 ;1035.8 ; ; ; ;87129.7 ;29180.7 ;28317.4 ;22918.8 ;7329.5 ;7999.3 ;50888.3 ;4180.9 ;3767.2 ; ;257135.1 
01/10/95;46716.3 ;55358.7 ;4339.6 ;69392.5 ;1901.4 ;11958.0 ;498107.9 ;36091.4 ;813.1 ;26457.2 ;121681.3 ;26287.3 ;310308.7 ;4546.6 ;8934.4 ;13409.2 ;235285.8 ;1400.3 ;4195.7 ;1044.5 ; ; ; ;88064.3 ;29608.1 ;27294.6 ;23078.1 ;6913.7 ;5037.2 ;55097.8 ;4142.7 ;3889.5 ; ;256787.7 
01/01/96;46560.5 ;55226.4 ;3757.2 ;68895.2 ;1936.8 ;12696.5 ;490317.4 ;36198.6 ;861.6 ;27049.4 ;124839.6 ;25627.3 ;314747.7 ;4593.1 ;9058.6 ;14141.5 ;247179.3 ;1512.7 ;4276.1 ;1094.9 ; ; ; ;87910.6 ;30982.6 ;30635.6 ;23451.1 ;6507.8 ;3884.7 ;56361.4 ;4045.7 ;4084.8 ; ;261944.1 
01/04/96;46564.0 ;54793.3 ;2562.1 ;67757.9 ;1960.9 ;13031.0 ;491641.4 ;36896.9 ;915.1 ;28389.0 ;126127.8 ;25404.6 ;316414.6 ;4697.8 ;9140.0 ;14726.5 ;259037.7 ;1598.9 ;3785.8 ;1155.3 ; ; ; ;88182.6 ;31240.0 ;31478.8 ;23786.3 ;6938.3 ;4487.1 ;57277.3 ;4154.8 ;4219.6 ; ;273222.2 
01/07/96;46960.3 ;55030.7 ;2299.8 ;67167.8 ;1976.6 ;13520.3 ;494498.4 ;37432.2 ;982.1 ;29285.0 ;127500.5 ;26229.2 ;317612.3 ;4919.9 ;9180.7 ;14935.5 ;262507.9 ;1707.3 ;4416.3 ;1194.0 ; ; ; ;89441.6 ;32552.0 ;31656.6 ;24565.2 ;7590.5 ;4959.3 ;58299.5 ;4360.3 ;4319.8 ; ;279712.1 
01/10/96;46741.0 ;54919.0 ;2244.4 ;64940.6 ;2016.3 ;13793.5 ;492513.2 ;37304.6 ;1004.4 ;30019.2 ;127906.1 ;26869.8 ;316515.2 ;5014.4 ;9379.0 ;15913.7 ;265431.3 ;1781.2 ;3985.1 ;1245.1 ; ; ; ;89382.3 ;33601.5 ;32230.0 ;24824.6 ;7691.9 ;5184.0 ;57957.3 ;4364.6 ;4429.2 ; ;301587.8 
01/01/97;46620.3 ;54789.8 ;1188.4 ;62739.1 ;2045.6 ;14379.9 ;485334.6 ;37835.6 ;1040.1 ;30643.9 ;127382.2 ;27166.3 ;315667.3 ;5117.4 ;10227.0 ;17159.1 ;268465.2 ;2026.7 ;4243.4 ;1319.5 ; ; ; ;89978.5 ;35412.2 ;34393.8 ;25513.6 ;6489.7 ;5255.7 ;57639.9 ;4426.0 ;4615.5 ; ;323971.3 
01/04/97;46631.0 ;55614.6 ;2194.1 ;64321.7 ;2077.1 ;13617.9 ;488238.7 ;38304.2 ;1115.3 ;30971.6 ;128412.8 ;27428.5 ;319234.4 ;5256.4 ;10371.3 ;17870.8 ;271776.2 ;2159.4 ;4292.0 ;1405.9 ; ; ; ;91358.5 ;35165.5 ;35213.0 ;25703.1 ;6974.4 ;5669.8 ;57779.4 ;4597.5 ;4784.2 ; ;336947.0 
01/07/97;47031.3 ;55995.3 ;3320.9 ;66218.9 ;2126.6 ;13368.5 ;489072.3 ;38246.3 ;1173.7 ;31853.7 ;130409.5 ;28331.7 ;320473.5 ;5378.8 ;10565.7 ;18867.7 ;276817.8 ;2344.2 ;4413.7 ;1503.6 ; ; ; ;92334.2 ;35242.0 ;35280.0 ;25968.8 ;8454.9 ;6174.8 ;59955.6 ;4630.0 ;4966.7 ; ;360743.2 
01/10/97;47653.0 ;56645.2 ;3231.6 ;67380.2 ;2164.7 ;13531.3 ;492564.7 ;38777.9 ;1219.6 ;32700.2 ;134642.1 ;29101.8 ;327180.7 ;5574.8 ;10586.3 ;19167.5 ;280267.3 ;2396.6 ;4315.7 ;1535.0 ; ; ; ;94459.8 ;36546.9 ;35204.1 ;26136.1 ;8866.8 ;6243.4 ;61553.1 ;4658.1 ;4965.2 ; ;353766.3 
01/01/98;48002.2 ;56928.8 ;2823.4 ;68302.7 ;2214.3 ;13950.2 ;496412.0 ;38948.4 ;1257.6 ;32407.7 ;133482.4 ;29101.4 ;330386.3 ;5766.6 ;11000.4 ;18963.3 ;279366.7 ;2546.8 ;4254.1 ;1617.5 ; ; ; ;95761.2 ;34830.8 ;37954.7 ;26711.1 ;8936.2 ;6803.2 ;60731.4 ;4749.2 ;5077.2 ;63989.3 ;368405.7 
01/04/98;48509.4 ;57506.6 ;2993.8 ;67319.4 ;2267.0 ;14787.6 ;497263.9 ;38870.3 ;1255.0 ;31052.0 ;136644.9 ;29729.8 ;334483.0 ;5745.4 ;10914.4 ;19901.7 ;283129.9 ;2547.3 ;4439.1 ;1610.9 ; ; ; ;96984.1 ;35189.0 ;39297.2 ;27375.6 ;9322.8 ;4133.2 ;62472.9 ;4875.1 ;5195.2 ;60832.9 ;370963.2 
01/07/98;48992.2 ;58071.6 ;3739.0 ;67260.2 ;2320.3 ;15491.0 ;501317.2 ;39893.5 ;1275.7 ;32361.2 ;139253.9 ;30267.5 ;337289.4 ;5771.7 ;10810.4 ;20987.0 ;284222.5 ;2538.1 ;4533.5 ;1601.7 ; ; ; ;98556.5 ;34234.6 ;38701.8 ;28010.3 ;9672.4 ;4236.1 ;60178.2 ;4987.3 ;5178.3 ;61877.6 ;370087.4 
01/10/98;49472.5 ;58497.9 ;3886.5 ;68638.6 ;2351.1 ;15562.0 ;503725.0 ;40430.4 ;1281.3 ;33099.4 ;143961.4 ;30633.3 ;341464.7 ;5710.6 ;10746.3 ;20882.8 ;286998.4 ;2403.6 ;4775.6 ;1577.5 ; ; ; ;100348.5 ;33396.9 ;38274.0 ;28587.0 ;8940.7 ;4393.4 ;58601.2 ;5110.5 ;4918.2 ;59546.2 ;365688.6 
01/01/99;50291.1 ;59146.0 ;2594.5 ;68811.7 ;2337.1 ;14716.2 ;509667.0 ;40878.7 ;1298.9 ;34444.2 ;144949.0 ;31241.0 ;344104.0 ;5573.0 ;10877.8 ;21763.7 ;288826.4 ;2423.9 ;4859.9 ;1643.7 ; ; ; ;102157.5 ;34278.3 ;37506.7 ;29320.1 ;7950.4 ;4698.8 ;61838.3 ;5221.8 ;4854.9 ;57841.9 ;375618.5 
01/04/99;50450.1 ;59976.0 ;2830.0 ;69227.4 ;2388.4 ;14823.2 ;510728.0 ;41316.9 ;1338.1 ;34858.0 ;147105.0 ;31491.0 ;347389.0 ;5543.0 ;11360.7 ;22263.9 ;290595.6 ;2641.8 ;5082.7 ;1723.6 ; ; ; ;103719.7 ;36867.4 ;39209.0 ;29687.2 ;8111.9 ;3863.9 ;62897.8 ;5260.5 ;4721.3 ;59980.2 ;390062.9 
01/07/99;51219.6 ;60992.0 ;3653.2 ;69989.2 ;2515.7 ;15513.9 ;515634.0 ;41927.3 ;1367.1 ;35104.5 ;149860.0 ;31890.0 ;351728.0 ;5531.5 ;11689.9 ;23875.3 ;294188.1 ;2602.2 ;5257.9 ;1783.7 ; ; ; ;105632.2 ;39483.7 ;40844.3 ;30017.2 ;8411.5 ;4885.7 ;64977.3 ;5234.9 ;4875.5 ;60227.2 ;397358.5 
01/10/99;51501.6 ;62190.0 ;3726.7 ;71878.5 ;2598.9 ;15876.1 ;518659.0 ;42848.8 ;1401.5 ;35612.8 ;153809.0 ;32294.0 ;356557.0 ;5594.6 ;12103.1 ;24894.0 ;300117.9 ;2627.3 ;5341.1 ;1892.6 ; ; ; ;107925.0 ;41736.7 ;41198.7 ;30578.8 ;8825.5 ;5668.5 ;67173.8 ;5398.7 ;5075.8 ;61742.7 ;416369.1 
